               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.016699,           0.0037698,          0.00053656,             0.99967,                   1,               0.995,             0.88209,           0.0094753,            0.002297,           0.0004288,            0.007294,            0.007294,            0.007294
                  84,            0.014915,           0.0035129,          0.00052931,             0.99972,                   1,               0.995,             0.88325,           0.0092789,           0.0022708,          0.00039097,            0.007261,            0.007261,            0.007261
                  85,            0.014871,            0.003529,           0.0004531,             0.99973,                   1,               0.995,             0.87573,           0.0092424,           0.0022462,            0.000336,            0.007228,            0.007228,            0.007228
                  86,            0.016491,            0.003663,          0.00052359,             0.99944,                   1,               0.995,             0.87876,           0.0094186,           0.0022771,          0.00039966,            0.007195,            0.007195,            0.007195
                  87,            0.015211,           0.0036957,           0.0005766,              0.9997,                   1,               0.995,             0.87783,           0.0085551,           0.0022352,          0.00039005,            0.007162,            0.007162,            0.007162
                  88,            0.014938,           0.0037759,          0.00047849,             0.99966,                   1,               0.995,              0.8822,           0.0084921,            0.002252,          0.00034626,            0.007129,            0.007129,            0.007129
                  89,            0.014488,           0.0036843,          0.00045926,             0.99962,                   1,               0.995,             0.88107,           0.0094091,           0.0022083,          0.00032786,            0.007096,            0.007096,            0.007096
                  90,            0.014683,           0.0035135,          0.00051704,             0.99967,                   1,               0.995,             0.87915,           0.0095021,            0.002143,           0.0003614,            0.007063,            0.007063,            0.007063
                  91,            0.015343,           0.0035139,          0.00053313,             0.99963,                   1,               0.995,             0.88228,           0.0093772,           0.0021635,          0.00035051,             0.00703,             0.00703,             0.00703
                  92,            0.015085,           0.0036923,          0.00052647,             0.99967,                   1,               0.995,             0.89068,           0.0090207,           0.0021726,          0.00038027,            0.006997,            0.006997,            0.006997
                  93,            0.014987,           0.0036696,          0.00050875,             0.99965,                   1,               0.995,             0.87669,           0.0088035,           0.0021972,          0.00034496,            0.006964,            0.006964,            0.006964
                  94,            0.015485,           0.0038358,          0.00049215,             0.99965,                   1,               0.995,             0.88808,            0.008442,           0.0021805,          0.00037198,            0.006931,            0.006931,            0.006931
                  95,            0.014381,           0.0035553,          0.00052459,             0.99969,                   1,               0.995,             0.88848,           0.0085683,            0.002163,          0.00032298,            0.006898,            0.006898,            0.006898
                  96,            0.014357,           0.0036331,          0.00044139,             0.99963,                   1,               0.995,             0.89975,           0.0085175,            0.002156,          0.00030884,            0.006865,            0.006865,            0.006865
                  97,            0.014177,           0.0033917,          0.00048288,             0.99961,                   1,               0.995,              0.8831,           0.0084679,           0.0022123,          0.00036422,            0.006832,            0.006832,            0.006832
                  98,            0.014088,            0.003438,          0.00049705,              0.9997,                   1,               0.995,             0.88154,           0.0084116,           0.0021606,          0.00034289,            0.006799,            0.006799,            0.006799
                  99,            0.014723,           0.0034906,          0.00044815,              0.9996,                   1,               0.995,             0.89405,           0.0085317,           0.0021676,           0.0003328,            0.006766,            0.006766,            0.006766
                 100,            0.014237,           0.0033356,          0.00048474,              0.9997,                   1,               0.995,             0.88681,           0.0088164,           0.0021452,          0.00034948,            0.006733,            0.006733,            0.006733
                 101,             0.01422,           0.0034346,          0.00044276,             0.99964,                   1,               0.995,             0.89732,           0.0081291,           0.0020914,          0.00031798,              0.0067,              0.0067,              0.0067
                 102,            0.014216,           0.0035488,          0.00042251,             0.99972,                   1,               0.995,             0.89456,           0.0083478,           0.0021105,          0.00031265,            0.006667,            0.006667,            0.006667
                 103,            0.014029,           0.0034877,          0.00044023,             0.99971,                   1,               0.995,             0.89638,           0.0083486,            0.002143,          0.00032009,            0.006634,            0.006634,            0.006634
                 104,            0.013792,           0.0035949,          0.00044956,             0.99972,                   1,               0.995,             0.88534,           0.0089108,           0.0021808,          0.00032261,            0.006601,            0.006601,            0.006601
                 105,            0.014115,           0.0035865,          0.00043566,             0.99963,                   1,               0.995,             0.88384,           0.0087198,           0.0021998,            0.000334,            0.006568,            0.006568,            0.006568
                 106,            0.013373,           0.0033325,          0.00042833,             0.99966,                   1,               0.995,             0.88521,           0.0083583,           0.0021715,          0.00032707,            0.006535,            0.006535,            0.006535
