               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.025326,            0.012343,          0.00064611,             0.98471,             0.99482,             0.99163,             0.73452,            0.016808,            0.007539,          0.00055741,            0.007756,            0.007756,            0.007756
                  70,            0.025589,             0.01198,          0.00076641,             0.98389,             0.99407,             0.99113,             0.74725,            0.015771,           0.0075284,          0.00055887,            0.007723,            0.007723,            0.007723
                  71,            0.024589,            0.011392,          0.00068981,             0.98195,             0.99079,             0.98997,             0.73235,            0.016241,           0.0075238,          0.00058734,             0.00769,             0.00769,             0.00769
                  72,            0.024408,            0.011184,          0.00064833,             0.98435,             0.99306,             0.99068,             0.72277,            0.018039,           0.0075775,          0.00054173,            0.007657,            0.007657,            0.007657
                  73,            0.024398,            0.011797,          0.00067121,             0.98531,             0.99333,             0.99026,             0.73639,            0.016322,           0.0075308,          0.00054859,            0.007624,            0.007624,            0.007624
                  74,            0.025762,            0.012521,          0.00075232,             0.98159,             0.98867,             0.98828,             0.73093,            0.017706,            0.007628,          0.00054909,            0.007591,            0.007591,            0.007591
                  75,            0.024222,            0.011736,          0.00075915,             0.98633,             0.99368,              0.9913,             0.75189,            0.015441,           0.0074543,          0.00056554,            0.007558,            0.007558,            0.007558
                  76,            0.023901,             0.01167,          0.00062325,             0.98572,             0.99383,             0.99109,             0.75331,            0.015623,           0.0074333,           0.0005106,            0.007525,            0.007525,            0.007525
                  77,            0.024298,            0.011026,          0.00066657,             0.97835,             0.98895,             0.98547,             0.73771,            0.015991,           0.0074699,          0.00051799,            0.007492,            0.007492,            0.007492
                  78,            0.023834,            0.011856,          0.00063417,             0.98679,             0.99215,             0.99127,             0.75032,            0.015507,           0.0074031,          0.00047367,            0.007459,            0.007459,            0.007459
                  79,            0.024057,            0.011458,          0.00062525,             0.97771,             0.98719,             0.98605,             0.73616,            0.016143,           0.0074605,          0.00045784,            0.007426,            0.007426,            0.007426
                  80,            0.023942,            0.012062,          0.00056363,             0.98503,              0.9928,             0.99112,               0.752,            0.015648,           0.0074223,            0.000479,            0.007393,            0.007393,            0.007393
                  81,            0.023438,            0.011692,          0.00062101,               0.984,             0.99372,              0.9905,             0.75189,            0.014908,           0.0073028,          0.00047657,             0.00736,             0.00736,             0.00736
                  82,            0.023958,            0.011799,          0.00058478,             0.97936,             0.98758,              0.9873,             0.73862,            0.015741,           0.0075074,          0.00048478,            0.007327,            0.007327,            0.007327
                  83,            0.024482,            0.011591,          0.00068716,             0.98403,             0.99333,             0.99197,             0.74391,            0.016299,           0.0074381,          0.00057285,            0.007294,            0.007294,            0.007294
                  84,            0.023824,            0.012105,          0.00060106,             0.98329,             0.99231,              0.9918,             0.74377,            0.015395,           0.0073677,          0.00045691,            0.007261,            0.007261,            0.007261
                  85,            0.023704,            0.011164,          0.00059686,             0.98414,             0.99047,              0.9917,             0.74038,            0.015623,           0.0073451,          0.00044496,            0.007228,            0.007228,            0.007228
                  86,            0.024064,            0.011865,          0.00070509,             0.98709,              0.9928,             0.99189,             0.75495,            0.015066,           0.0072604,          0.00044868,            0.007195,            0.007195,            0.007195
                  87,             0.02352,            0.011147,          0.00054702,             0.98402,             0.99134,             0.99107,             0.74648,            0.015249,           0.0073786,          0.00045479,            0.007162,            0.007162,            0.007162
                  88,            0.023945,            0.011651,          0.00068284,             0.98192,             0.98882,             0.98891,             0.74819,            0.015571,           0.0074074,          0.00046802,            0.007129,            0.007129,            0.007129
                  89,            0.023248,             0.01139,          0.00055527,             0.98013,             0.98792,             0.98618,             0.74773,            0.015737,           0.0074308,           0.0004274,            0.007096,            0.007096,            0.007096
                  90,            0.023411,            0.011589,          0.00056276,             0.98558,             0.99324,             0.99122,             0.75762,            0.015535,           0.0073464,          0.00049513,            0.007063,            0.007063,            0.007063
                  91,            0.023097,            0.011098,          0.00058504,             0.98563,             0.99398,             0.99101,             0.76214,            0.014918,           0.0072756,           0.0004738,             0.00703,             0.00703,             0.00703
                  92,            0.023243,            0.011244,          0.00051461,             0.98466,             0.99414,             0.99178,             0.74845,            0.015776,           0.0073598,          0.00041652,            0.006997,            0.006997,            0.006997
                  93,            0.023084,            0.011897,          0.00057038,              0.9785,             0.99083,             0.98985,             0.75442,            0.015263,           0.0073234,          0.00041379,            0.006964,            0.006964,            0.006964
                  94,            0.023355,            0.011335,          0.00055524,             0.98139,             0.98942,             0.99025,             0.75592,            0.015199,           0.0073128,          0.00044702,            0.006931,            0.006931,            0.006931
                  95,            0.022772,            0.011037,          0.00056821,              0.9812,             0.98422,             0.98693,             0.75443,            0.014807,            0.007275,          0.00045171,            0.006898,            0.006898,            0.006898
                  96,            0.022206,            0.011428,          0.00054354,             0.98582,             0.99444,             0.99228,             0.76769,            0.014753,           0.0071989,          0.00040594,            0.006865,            0.006865,            0.006865
                  97,            0.022362,            0.011485,          0.00057667,             0.98741,             0.99323,             0.99202,             0.76139,            0.014898,           0.0071548,          0.00042285,            0.006832,            0.006832,            0.006832
                  98,            0.022389,             0.01108,          0.00051284,              0.9858,             0.99263,             0.99278,             0.75895,            0.015282,           0.0071136,          0.00037741,            0.006799,            0.006799,            0.006799
                  99,            0.023546,            0.011419,          0.00056423,             0.98513,             0.99337,             0.99252,             0.75902,            0.015327,           0.0072679,          0.00041305,            0.006766,            0.006766,            0.006766
                 100,            0.023525,            0.011354,          0.00053358,             0.98926,             0.99246,             0.99312,             0.76548,            0.014784,           0.0072057,          0.00043011,            0.006733,            0.006733,            0.006733
                 101,            0.022612,            0.011386,          0.00055068,             0.99084,             0.99057,             0.99303,             0.76144,            0.014605,            0.007198,          0.00042006,              0.0067,              0.0067,              0.0067
                 102,            0.021789,            0.011325,          0.00048475,             0.98742,             0.99306,             0.99309,             0.75541,            0.015208,           0.0071153,          0.00043684,            0.006667,            0.006667,            0.006667
                 103,            0.023219,            0.011422,          0.00055251,             0.98706,             0.99178,              0.9926,             0.74942,             0.01522,           0.0071695,          0.00040778,            0.006634,            0.006634,            0.006634
                 104,            0.021962,            0.011264,          0.00054965,             0.98319,             0.98913,             0.99015,             0.76173,            0.014828,           0.0071585,          0.00039074,            0.006601,            0.006601,            0.006601
                 105,            0.021746,            0.011285,          0.00041537,             0.98774,             0.99093,             0.99306,             0.77136,            0.014775,            0.007092,          0.00036087,            0.006568,            0.006568,            0.006568
                 106,            0.022525,            0.011216,           0.0005096,             0.98658,             0.99488,             0.99267,             0.75471,            0.015073,           0.0072243,          0.00041437,            0.006535,            0.006535,            0.006535
                 107,            0.021623,            0.011269,          0.00051664,             0.98438,             0.99106,             0.99256,             0.77137,            0.014495,           0.0070424,          0.00038677,            0.006502,            0.006502,            0.006502
                 108,            0.022373,            0.011246,          0.00045212,              0.9831,             0.99036,             0.99262,             0.76484,              0.0147,           0.0071129,          0.00037612,            0.006469,            0.006469,            0.006469
                 109,            0.022129,            0.011566,          0.00044293,             0.98409,             0.99353,             0.99299,             0.76789,            0.014423,           0.0070327,          0.00035878,            0.006436,            0.006436,            0.006436
                 110,            0.021881,            0.011288,          0.00045503,             0.98553,             0.99372,             0.99292,             0.77207,            0.014137,           0.0069965,          0.00035035,            0.006403,            0.006403,            0.006403
                 111,            0.021671,            0.010814,          0.00044935,             0.98249,             0.98791,             0.98753,             0.76738,             0.01441,           0.0070988,          0.00033285,             0.00637,             0.00637,             0.00637
                 112,            0.021767,            0.011291,          0.00047175,             0.98125,             0.98713,             0.98718,              0.7681,            0.014332,           0.0069805,          0.00035111,            0.006337,            0.006337,            0.006337
                 113,             0.02202,             0.01098,          0.00054946,             0.98444,             0.99341,             0.99306,             0.76422,            0.014734,           0.0070057,           0.0003536,            0.006304,            0.006304,            0.006304
                 114,            0.021498,            0.010896,          0.00042276,             0.98841,             0.98758,             0.99339,             0.77025,            0.014186,           0.0069919,          0.00035786,            0.006271,            0.006271,            0.006271
                 115,            0.021788,            0.010744,          0.00044666,             0.97725,             0.98696,             0.98766,             0.76999,            0.014283,           0.0070632,          0.00034755,            0.006238,            0.006238,            0.006238
                 116,             0.02194,            0.010971,          0.00046789,             0.98617,             0.99128,             0.99307,             0.77656,            0.014136,           0.0070107,          0.00034485,            0.006205,            0.006205,            0.006205
                 117,            0.021513,            0.010971,          0.00046675,             0.98304,             0.98957,             0.99088,              0.7767,            0.014143,           0.0069905,          0.00036095,            0.006172,            0.006172,            0.006172
                 118,            0.021006,            0.010972,          0.00041449,             0.98549,             0.99164,             0.99313,             0.77771,            0.014103,           0.0069309,          0.00030921,            0.006139,            0.006139,            0.006139
                 119,            0.021467,              0.0108,          0.00041583,              0.9874,             0.99209,             0.99334,             0.77393,            0.014118,           0.0069699,          0.00036289,            0.006106,            0.006106,            0.006106
                 120,            0.021358,            0.010698,          0.00047295,             0.98636,             0.99397,             0.99332,             0.77271,             0.01446,           0.0069806,          0.00034117,            0.006073,            0.006073,            0.006073
                 121,            0.021266,            0.010977,          0.00042978,             0.98252,             0.98732,             0.98672,              0.7754,            0.013919,           0.0069414,          0.00031649,             0.00604,             0.00604,             0.00604
                 122,            0.021268,            0.011086,          0.00042077,               0.984,              0.9883,             0.98982,              0.7806,            0.013936,           0.0069695,          0.00034691,            0.006007,            0.006007,            0.006007
                 123,            0.021455,            0.011072,          0.00046732,             0.98907,             0.99377,             0.99362,             0.76685,            0.014199,           0.0069384,          0.00032644,            0.005974,            0.005974,            0.005974
                 124,            0.021052,            0.010978,          0.00044798,              0.9889,              0.9934,             0.99307,             0.77733,            0.013851,           0.0069157,          0.00034114,            0.005941,            0.005941,            0.005941
                 125,            0.021256,            0.010807,          0.00038298,             0.98389,             0.98748,             0.99026,             0.77123,            0.014161,           0.0069509,           0.0003077,            0.005908,            0.005908,            0.005908
                 126,            0.021505,            0.010191,          0.00048212,             0.98806,             0.99377,             0.99314,             0.77322,            0.014335,           0.0069966,          0.00034833,            0.005875,            0.005875,            0.005875
                 127,            0.021127,             0.01089,          0.00048482,             0.98721,             0.99181,             0.99305,             0.78307,            0.013926,           0.0068874,          0.00035312,            0.005842,            0.005842,            0.005842
                 128,            0.021125,             0.01101,          0.00040877,             0.98654,             0.99373,             0.99299,             0.78033,            0.013795,           0.0068589,          0.00030994,            0.005809,            0.005809,            0.005809
                 129,            0.021158,            0.010755,          0.00049778,             0.98477,             0.99379,             0.99291,             0.78111,            0.013384,           0.0068912,          0.00032612,            0.005776,            0.005776,            0.005776
                 130,            0.021367,            0.010894,          0.00039375,             0.98721,             0.99435,             0.99331,             0.78214,            0.013815,           0.0068854,          0.00032461,            0.005743,            0.005743,            0.005743
                 131,             0.02094,            0.010579,          0.00041779,             0.98575,             0.99493,             0.99288,             0.77083,            0.013767,           0.0068962,          0.00032658,             0.00571,             0.00571,             0.00571
                 132,            0.021049,            0.010772,          0.00040485,             0.98851,             0.99293,             0.99309,             0.77877,            0.013842,           0.0069452,          0.00031772,            0.005677,            0.005677,            0.005677
                 133,            0.021216,            0.010854,          0.00041737,             0.98648,             0.99098,             0.99299,              0.7722,            0.014063,            0.006989,          0.00032045,            0.005644,            0.005644,            0.005644
                 134,            0.021593,            0.011252,          0.00043589,             0.98784,             0.99242,             0.99344,             0.78153,            0.013647,           0.0069131,          0.00033103,            0.005611,            0.005611,            0.005611
                 135,            0.020498,            0.010701,           0.0004322,             0.98693,              0.9891,             0.99266,             0.77724,            0.014092,           0.0068794,           0.0003139,            0.005578,            0.005578,            0.005578
                 136,            0.020525,            0.010347,          0.00044154,             0.98751,              0.9913,             0.99323,             0.77847,            0.013786,           0.0068631,          0.00036978,            0.005545,            0.005545,            0.005545
                 137,            0.021449,            0.010499,          0.00054585,             0.99087,             0.99214,             0.99374,             0.77519,             0.01404,           0.0068394,          0.00030272,            0.005512,            0.005512,            0.005512
                 138,            0.020061,             0.01053,          0.00039275,             0.98959,             0.99268,             0.99328,             0.78367,            0.013725,           0.0068157,          0.00031024,            0.005479,            0.005479,            0.005479
                 139,            0.020396,            0.010596,          0.00040582,             0.98833,             0.99371,             0.99332,             0.78216,            0.013609,           0.0068033,           0.0003136,            0.005446,            0.005446,            0.005446
                 140,            0.020348,            0.010405,          0.00040543,             0.98713,             0.98904,             0.99151,             0.78217,            0.013633,            0.006818,          0.00030601,            0.005413,            0.005413,            0.005413
                 141,            0.020905,            0.010651,          0.00039003,             0.98864,             0.99383,             0.99349,             0.78706,            0.013868,           0.0067656,          0.00029461,             0.00538,             0.00538,             0.00538
                 142,            0.020463,            0.010839,          0.00038411,             0.98891,              0.9921,             0.99347,             0.78833,            0.013435,           0.0066997,          0.00033271,            0.005347,            0.005347,            0.005347
                 143,             0.02024,            0.010748,           0.0003734,             0.98578,              0.9884,             0.99119,             0.79021,            0.013128,           0.0067005,          0.00029519,            0.005314,            0.005314,            0.005314
                 144,            0.020472,            0.010646,          0.00033883,             0.98599,             0.98691,             0.98893,             0.79173,            0.013237,           0.0066649,          0.00028506,            0.005281,            0.005281,            0.005281
                 145,            0.020395,            0.010489,          0.00040393,             0.98823,              0.9924,             0.99367,              0.7802,            0.013808,           0.0067742,          0.00031153,            0.005248,            0.005248,            0.005248
                 146,            0.020295,            0.010141,          0.00040102,             0.98632,             0.99164,             0.99365,             0.79114,            0.013327,           0.0067108,           0.0003022,            0.005215,            0.005215,            0.005215
                 147,            0.020206,            0.010649,           0.0003978,             0.98352,             0.98599,             0.98883,             0.78868,            0.013526,           0.0067543,          0.00028619,            0.005182,            0.005182,            0.005182
                 148,            0.019644,            0.010435,          0.00032678,             0.98396,             0.98563,             0.98855,             0.79249,            0.013324,           0.0067512,          0.00026279,            0.005149,            0.005149,            0.005149
                 149,            0.020325,            0.010453,          0.00034703,             0.98679,             0.98829,             0.99101,             0.78001,            0.013541,            0.006753,          0.00028936,            0.005116,            0.005116,            0.005116
                 150,            0.020404,            0.011042,             0.00046,             0.98505,             0.98921,             0.99145,             0.79367,            0.013161,           0.0066781,          0.00029451,            0.005083,            0.005083,            0.005083
                 151,            0.019592,            0.010691,          0.00037051,             0.99115,             0.99088,             0.99392,             0.79878,            0.013285,           0.0066376,          0.00027184,             0.00505,             0.00505,             0.00505
                 152,            0.020202,            0.010877,          0.00033762,             0.98883,             0.99217,             0.99374,             0.79668,            0.013336,           0.0067022,          0.00027719,            0.005017,            0.005017,            0.005017
                 153,            0.019927,           0.0097957,          0.00034453,             0.99147,             0.99214,             0.99436,             0.79459,            0.013163,           0.0066522,          0.00028349,            0.004984,            0.004984,            0.004984
                 154,            0.020019,             0.01024,          0.00033366,             0.98932,             0.99492,             0.99386,             0.79632,            0.013133,           0.0066055,          0.00025664,            0.004951,            0.004951,            0.004951
                 155,            0.019669,            0.010707,          0.00034108,             0.98997,             0.99296,             0.99345,             0.79561,            0.012927,           0.0066388,          0.00025371,            0.004918,            0.004918,            0.004918
                 156,            0.020209,             0.01039,           0.0003266,              0.9877,             0.99263,             0.99424,             0.79491,             0.01314,           0.0066357,          0.00026931,            0.004885,            0.004885,            0.004885
                 157,            0.019346,            0.010348,           0.0003211,             0.98506,             0.99496,             0.99381,             0.79067,            0.013213,           0.0066368,          0.00027451,            0.004852,            0.004852,            0.004852
                 158,            0.019548,           0.0098926,          0.00032505,             0.98805,             0.99131,             0.99356,             0.78852,            0.013392,           0.0066369,          0.00026268,            0.004819,            0.004819,            0.004819
